,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,class
0,0,1.1,Premium,G,VS2,60.2,58.0,6653,6.75,6.71,4.05,reject
1,1,0.9,Ideal,H,SI2,61.9,55.0,4101,6.21,6.19,3.84,reject
2,2,1.66,Ideal,H,VS1,61.5,56.0,15210,7.6,7.66,4.69,reject
3,3,0.35,Very Good,G,VS1,61.5,60.0,676,4.51,4.57,2.79,reject
4,4,1.04,Ideal,H,SI1,62.5,57.0,4648,6.5,6.46,4.05,reject
5,5,0.32,Ideal,G,VVS2,61.7,57.0,730,4.41,4.44,2.73,reject
6,6,1.04,Fair,G,SI2,65.2,57.0,2745,6.25,6.23,4.07,reject
7,7,0.41,Very Good,E,SI2,63.0,57.0,638,4.7,4.73,2.97,reject
8,8,1.54,Premium,G,SI2,62.4,57.0,8969,7.39,7.36,4.6,reject
9,9,1.51,Good,I,VS2,63.7,58.0,9116,7.23,7.21,4.6,reject
10,10,1.01,Ideal,F,SI1,62.0,54.0,5527,6.41,6.49,4.0,reject
11,11,1.7,Premium,F,SI2,58.5,60.0,9330,7.87,7.8,4.58,reject
12,12,0.81,Very Good,I,VS1,63.2,59.0,2655,5.9,5.84,3.71,reject
13,13,0.43,Premium,G,VVS1,60.3,58.0,1264,4.91,4.87,2.95,reject
14,14,0.37,Ideal,G,VS2,61.5,56.0,833,4.64,4.59,2.84,reject
15,15,0.4,Ideal,D,SI1,62.1,56.0,772,4.7,4.74,2.93,reject
16,16,1.21,Ideal,D,VS1,60.1,60.0,11019,6.92,6.99,4.18,reject
17,17,0.29,Ideal,H,VVS2,61.7,56.0,511,4.29,4.33,2.66,reject
18,18,2.01,Fair,G,SI2,65.9,57.0,10887,7.85,7.78,5.15,reject
19,19,1.51,Fair,I,VS2,64.8,60.0,8879,7.18,7.1,4.63,reject
20,20,0.51,Ideal,G,VVS2,62.0,57.0,1750,5.1,5.13,3.17,reject
21,21,2.27,Premium,J,VS1,62.4,58.0,17149,8.41,8.36,5.23,reject
22,22,0.32,Very Good,G,VVS1,60.9,61.0,842,4.37,4.4,2.67,reject
23,23,1.18,Ideal,H,SI1,61.5,57.0,6440,6.78,6.82,4.18,reject
24,24,0.77,Premium,I,VS2,61.6,58.0,2275,5.92,5.96,3.66,reject
25,25,1.03,Very Good,F,SI2,63.1,57.0,3668,6.42,6.38,4.04,reject
26,26,1.08,Good,D,SI1,63.8,59.0,5821,6.39,6.47,4.1,reject
27,27,1.2,Ideal,D,SI1,61.8,58.0,7508,6.76,6.83,4.2,reject
28,28,0.98,Fair,F,SI1,61.8,66.0,3622,6.38,6.27,3.91,reject
29,29,1.02,Premium,G,VS2,62.5,58.0,6301,6.41,6.46,4.02,reject
30,30,0.5,Good,E,VS1,58.2,61.0,1806,5.19,5.22,3.03,accept
31,31,1.06,Premium,E,VS1,59.1,58.0,6669,6.66,6.71,3.95,reject
32,32,0.7,Premium,G,I1,59.2,61.0,1115,5.76,5.7,3.39,reject
33,33,1.05,Ideal,J,SI2,62.3,54.0,4126,6.52,6.55,4.07,reject
34,34,1.1,Ideal,G,SI1,61.6,56.0,6837,6.62,6.65,4.08,reject
35,35,0.55,Ideal,G,IF,61.1,57.0,2383,5.26,5.31,3.23,reject
36,36,0.73,Ideal,H,SI2,62.3,56.0,2278,5.78,5.72,3.58,reject
37,37,0.41,Very Good,E,SI1,62.8,59.0,755,4.74,4.75,2.98,reject
38,38,0.78,Good,H,VS2,63.7,60.0,2440,5.77,5.73,3.66,reject
39,39,1.34,Premium,F,VS2,61.1,58.0,10431,7.12,7.05,4.33,reject
